ID,sentimiento
60000,negativo
60001,negativo
60002,negativo
60003,negativo
60004,negativo
60005,negativo
60006,negativo
60007,negativo
60008,negativo
60009,negativo
60010,positivo
60011,positivo
60012,negativo
60013,negativo
60014,negativo
60015,positivo
60016,negativo
60017,positivo
60018,positivo
60019,negativo
60020,positivo
60021,positivo
60022,negativo
60023,positivo
60024,negativo
60025,negativo
60026,positivo
60027,positivo
60028,negativo
60029,positivo
60030,negativo
60031,negativo
60032,negativo
60033,negativo
60034,negativo
60035,positivo
60036,positivo
60037,positivo
60038,positivo
60039,negativo
60040,positivo
60041,positivo
60042,negativo
60043,positivo
60044,negativo
60045,negativo
60046,negativo
60047,positivo
60048,positivo
60049,negativo
60050,negativo
60051,negativo
60052,positivo
60053,positivo
60054,negativo
60055,positivo
60056,positivo
60057,positivo
60058,positivo
60059,negativo
60060,negativo
60061,positivo
60062,positivo
60063,positivo
60064,positivo
60065,positivo
60066,positivo
60067,positivo
60068,negativo
60069,positivo
60070,positivo
60071,positivo
60072,positivo
60073,positivo
60074,positivo
60075,negativo
60076,positivo
60077,positivo
60078,positivo
60079,positivo
60080,negativo
60081,negativo
60082,positivo
60083,negativo
60084,positivo
60085,positivo
60086,positivo
60087,positivo
60088,positivo
60089,positivo
60090,positivo
60091,positivo
60092,negativo
60093,negativo
60094,negativo
60095,negativo
60096,positivo
60097,negativo
60098,negativo
60099,negativo
60100,positivo
60101,positivo
60102,positivo
60103,negativo
60104,negativo
60105,negativo
60106,negativo
60107,negativo
60108,positivo
60109,positivo
60110,negativo
60111,positivo
60112,positivo
60113,negativo
60114,positivo
60115,negativo
60116,negativo
60117,positivo
60118,negativo
60119,negativo
60120,negativo
60121,positivo
60122,negativo
60123,negativo
60124,positivo
60125,positivo
60126,positivo
60127,positivo
60128,positivo
60129,negativo
60130,negativo
60131,negativo
60132,negativo
60133,positivo
60134,positivo
60135,positivo
60136,positivo
60137,positivo
60138,positivo
60139,negativo
60140,negativo
60141,positivo
60142,negativo
60143,positivo
60144,negativo
60145,negativo
60146,positivo
60147,negativo
60148,positivo
60149,positivo
60150,negativo
60151,positivo
60152,positivo
60153,positivo
60154,negativo
60155,negativo
60156,positivo
60157,positivo
60158,negativo
60159,positivo
60160,positivo
60161,positivo
60162,positivo
60163,positivo
60164,positivo
60165,negativo
60166,negativo
60167,negativo
60168,positivo
60169,positivo
60170,negativo
60171,positivo
60172,positivo
60173,positivo
60174,positivo
60175,positivo
60176,negativo
60177,positivo
60178,positivo
60179,negativo
60180,positivo
60181,positivo
60182,positivo
60183,negativo
60184,negativo
60185,negativo
60186,positivo
60187,negativo
60188,negativo
60189,negativo
60190,negativo
60191,positivo
60192,positivo
60193,positivo
60194,positivo
60195,negativo
60196,negativo
60197,positivo
60198,positivo
60199,positivo
60200,positivo
60201,positivo
60202,positivo
60203,negativo
60204,negativo
60205,negativo
60206,positivo
60207,negativo
60208,positivo
60209,positivo
60210,positivo
60211,positivo
60212,positivo
60213,positivo
60214,positivo
60215,negativo
60216,positivo
60217,positivo
60218,negativo
60219,negativo
60220,positivo
60221,positivo
60222,positivo
60223,positivo
60224,negativo
60225,positivo
60226,positivo
60227,negativo
60228,positivo
60229,negativo
60230,positivo
60231,negativo
60232,positivo
60233,negativo
60234,positivo
60235,positivo
60236,positivo
60237,positivo
60238,positivo
60239,negativo
60240,negativo
60241,positivo
60242,positivo
60243,positivo
60244,positivo
60245,negativo
60246,positivo
60247,positivo
60248,negativo
60249,positivo
60250,positivo
60251,positivo
60252,positivo
60253,positivo
60254,positivo
60255,positivo
60256,positivo
60257,negativo
60258,positivo
60259,negativo
60260,positivo
60261,positivo
60262,positivo
60263,positivo
60264,positivo
60265,positivo
60266,positivo
60267,negativo
60268,positivo
60269,negativo
60270,negativo
60271,negativo
60272,positivo
60273,positivo
60274,positivo
60275,negativo
60276,positivo
60277,positivo
60278,positivo
60279,positivo
60280,negativo
60281,negativo
60282,negativo
60283,negativo
60284,positivo
60285,positivo
60286,positivo
60287,positivo
60288,positivo
60289,positivo
60290,positivo
60291,positivo
60292,positivo
60293,negativo
60294,positivo
60295,negativo
60296,negativo
60297,negativo
60298,negativo
60299,positivo
60300,negativo
60301,positivo
60302,positivo
60303,negativo
60304,positivo
60305,positivo
60306,positivo
60307,negativo
60308,positivo
60309,positivo
60310,positivo
60311,positivo
60312,positivo
60313,positivo
60314,negativo
60315,negativo
60316,negativo
60317,negativo
60318,positivo
60319,negativo
60320,positivo
60321,positivo
60322,negativo
60323,positivo
60324,positivo
60325,positivo
60326,positivo
60327,positivo
60328,negativo
60329,negativo
60330,negativo
60331,positivo
60332,negativo
60333,positivo
60334,positivo
60335,positivo
60336,positivo
60337,positivo
60338,positivo
60339,negativo
60340,negativo
60341,positivo
60342,positivo
60343,positivo
60344,positivo
60345,positivo
60346,positivo
60347,positivo
60348,positivo
60349,negativo
60350,positivo
60351,positivo
60352,positivo
60353,positivo
60354,positivo
60355,negativo
60356,negativo
60357,positivo
60358,negativo
60359,positivo
60360,positivo
60361,positivo
60362,positivo
60363,negativo
60364,negativo
60365,negativo
60366,positivo
60367,positivo
60368,negativo
60369,negativo
60370,positivo
60371,positivo
60372,positivo
60373,negativo
60374,positivo
60375,positivo
60376,positivo
60377,positivo
60378,positivo
60379,positivo
60380,positivo
60381,positivo
60382,positivo
60383,positivo
60384,positivo
60385,positivo
60386,positivo
60387,positivo
60388,negativo
60389,positivo
60390,positivo
60391,positivo
60392,positivo
60393,negativo
60394,positivo
60395,positivo
60396,positivo
60397,negativo
60398,negativo
60399,negativo
60400,positivo
60401,positivo
60402,positivo
60403,positivo
60404,positivo
60405,positivo
60406,positivo
60407,negativo
60408,positivo
60409,positivo
60410,positivo
60411,positivo
60412,negativo
60413,positivo
60414,positivo
60415,positivo
60416,negativo
60417,negativo
60418,negativo
60419,positivo
60420,negativo
60421,positivo
60422,positivo
60423,positivo
60424,positivo
60425,positivo
60426,positivo
60427,positivo
60428,positivo
60429,positivo
60430,negativo
60431,positivo
60432,positivo
60433,negativo
60434,positivo
60435,positivo
60436,positivo
60437,negativo
60438,positivo
60439,positivo
60440,positivo
60441,positivo
60442,positivo
60443,positivo
60444,positivo
60445,negativo
60446,negativo
60447,positivo
60448,negativo
60449,positivo
60450,positivo
60451,positivo
60452,positivo
60453,positivo
60454,positivo
60455,positivo
60456,positivo
60457,negativo
60458,negativo
60459,negativo
60460,negativo
60461,negativo
60462,negativo
60463,negativo
60464,positivo
60465,positivo
60466,negativo
60467,positivo
60468,negativo
60469,positivo
60470,negativo
60471,positivo
60472,negativo
60473,negativo
60474,positivo
60475,negativo
60476,negativo
60477,negativo
60478,negativo
60479,positivo
60480,negativo
60481,positivo
60482,negativo
60483,positivo
60484,positivo
60485,positivo
60486,negativo
60487,positivo
60488,negativo
60489,positivo
60490,negativo
